date,value
07.02.21,38852.90
06.02.21,39256.60
05.02.21,38297.60
04.02.21,36982.10
03.02.21,37646.80
02.02.21,35485.20
01.02.21,33515.70
31.01.21,33108.10
30.01.21,34283.10
29.01.21,34301.80
28.01.21,33374.80
27.01.21,30404.00
26.01.21,32502.10
25.01.21,32252.30
24.01.21,32241.30
23.01.21,32088.90
22.01.21,33000.50
21.01.21,30842.10
20.01.21,35476.30
19.01.21,36002.90
18.01.21,36613.20
17.01.21,35839.60
16.01.21,36019.50
15.01.21,36845.80
14.01.21,39175.70
13.01.21,37382.20
12.01.21,34076.10
11.01.21,35544.30
10.01.21,38192.20
09.01.21,40151.90
08.01.21,40599.30
07.01.21,39460.20
06.01.21,36793.20
05.01.21,33991.50
04.01.21,32022.60
03.01.21,32958.90
02.01.21,32193.30
01.01.21,29359.90
31.12.20,28949.40
30.12.20,28868.70
29.12.20,27376.00
28.12.20,27057.80
27.12.20,26261.30
26.12.20,26454.40
25.12.20,24689.60
24.12.20,23736.50
23.12.20,23257.90
22.12.20,23823.20
21.12.20,22728.50
20.12.20,23474.90
19.12.20,23844.00
18.12.20,23127.90
17.12.20,22825.40
16.12.20,21352.20
15.12.20,19434.90
14.12.20,19273.80
13.12.20,19176.80
12.12.20,18808.90
11.12.20,18023.60
10.12.20,18247.20
09.12.20,18546.00
08.12.20,18326.60
07.12.20,19170.70
06.12.20,19379.90
05.12.20,19146.50
04.12.20,18658.10
03.12.20,19433.30
02.12.20,19218.80
01.12.20,18770.70
30.11.20,19698.10
29.11.20,18185.50
28.11.20,17730.70
27.11.20,17127.10
26.11.20,17162.00
25.11.20,18723.00
24.11.20,19152.60
23.11.20,18379.60
22.11.20,18412.90
21.11.20,18687.20
20.11.20,18675.20
19.11.20,17803.50
18.11.20,17774.60
17.11.20,17662.30
16.11.20,16715.80
15.11.20,15953.00
14.11.20,16071.00
13.11.20,16324.20
12.11.20,16294.70
11.11.20,15695.80
10.11.20,15303.60
09.11.20,15327.20
08.11.20,15483.70
07.11.20,14828.40
06.11.20,15577.90
05.11.20,15587.10
04.11.20,14145.60
03.11.20,14019.90
02.11.20,13561.40
01.11.20,13759.40
31.10.20,13797.30
30.10.20,13559.90
29.10.20,13457.20
28.10.20,13278.90
27.10.20,13657.80
26.10.20,13061.60
25.10.20,13032.20
24.10.20,13117.20
23.10.20,12934.10
22.10.20,12974.60
21.10.20,12808.70
20.10.20,11913.50
19.10.20,11753.40
18.10.20,11506.90
17.10.20,11362.10
16.10.20,11322.00
15.10.20,11503.00
14.10.20,11420.40
13.10.20,11423.80
12.10.20,11533.90
11.10.20,11371.00
10.10.20,11298.40
09.10.20,11054.20
08.10.20,10924.10
07.10.20,10670.90
06.10.20,10602.60
05.10.20,10789.50
04.10.20,10672.90
03.10.20,10544.20
02.10.20,10572.30
